No,EventCodeEnum,Value,Used,Notify,Description
265,POLISHWAFER_CLEANING_PIN_ALIGNMENT_COMMAND_DISAPPERED,0x00023003,,,
266,POLISHWAFER_CLEANING_MARGIN_EXCEEDED,0x00023004,,,
267,POLISHWAFER_MANUALOPERATION_COMMAND_REJECTED,0x00023005,,,
268,POLISHWAFER_INCORRECT_ON_CHUCK,0x00023006,,,
269,POLISHWAFER_SUSPEND_ON_CHUCK,0x00023007,,,
270,POLISHWAFER_CLEANING_MAKE_SEQUENCE_FAILED,0x00023008,,,
271,POLISHWAFER_EXIST_INTERVAL,0x00023009,,,
272,POLISHWAFER_NOT_EXIST_INTERVAL,0x0002300A,,,
273,POLISHWAFER_EXIST_CLEANING,0x0002300B,,,
274,POLISHWAFER_NOT_EXIST_CLEANING,0x0002300C,,,
275,POLISHWAFER_NO_WAFER_AVAILABLE,0x0002300D,,,
276,POLISHWAFER_CENTERING_ERROR,0x0002300E,,O,
277,POLISHWAFER_FOCUSING_ERROR,0x0002300F,,O,
278,POLISHWAFER_CLEAING_ERROR,0x00023010,,,
279,POLISHWAFER_GET_NEXT_POSITION_FAIL,0x00023011,,,
280,POLISHWAFER_CAN_NOT_PERFORMED,0x00023012,,O,
281,POLISHWAFER_CLEANING_DATA_REMAIN,0x00023013,,,
282,POLISHWAFER_NO_CLEANING_DATA_REMAIN,0x00023014,,,
283,POLISHWAFER_ASSIGN_FAIL,0x00023015,,,
284,CHILLER_WAITTEMP_TIME_OUT,0x00027001,,,
285,SOAKING_ERROR,0x00030000,,O,
286,AUTOSOAKING_ERROR,0x00030001,,,
287,SOAKING_TOLERANCE_ERROR,0x00030002,,,
288,EVENTSOAKING_ERROR,0x00030003,,,
289,SOAKING_CANCLE,0x00030004,,,
290,SOAKING_FAILED_GET_SOAKING_DATA,0x00030005,,,
291,SOAKING_PROCESSED_SOAKINGTIME_WRONG,0x00030006,,,
292,SOAKING_ERROR_NULL_DATA,0x00030007,,,
293,SOAKING_NEED_PINALIGN,0x00030008,,,
294,SOAKING_NEED_WAFERALIGN,0x00030009,,,
295,SOAKING_NEED_PIN_WAFERALIGN,0x0003000A,,,
296,SOAKING_ERROR_WRONG_DATA,0x0003000B,,,
297,SOAKING_ERROR_SET_CMD,0x0003000C,,,
298,SOAKING_ERROR_MANUAL_SOAK,0x0003000D,,,
299,SOAKING_ERROR_CAN_NOT_MANUAL_SOAK,0x0003000E,,,
300,SOAKING_ERROR_THERE_IS_NO_MANUAL_SOAK,0x0003000F,,,
301,SOAKING_ERROR_PREPARE_ALREADY_WORKING,0x00030010,,,
302,SOAKING_ERROR_RECOVERY_ALREADY_WORKING,0x00030011,,,
303,SOAKING_ERROR_MAINTAIN_ALREADY_WORKING,0x00030012,,,
304,SOAKING_ERROR_MANUAL_ALREADY_WORKING,0x00030013,,,
305,SOAKING_ERROR_ALREADY_WORKING,0x00030014,,,
306,SOAKING_ERROR_NOT_MAINTENANCE_MODE,0x00030015,,,
307,SOAKING_ERROR_IDLE_PINALIGN,0x00030016,,O,
308,SOAKING_ERROR_IDLE_WAFERALIGN,0x00030017,,O,
309,SOAKING_ERROR_PARAMETER_INVALID,0x00030018,,,
310,SOAKING_ERROR_SUSPEND_OVERTIME,0x00030019,,,
