PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].CardCenterToleranceX;20000871;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].CardCenterToleranceY;20000872;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].CardCenterToleranceZ;20000873;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].EachPinToleranceX;20000868;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].EachPinToleranceY;20000869;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].EachPinToleranceZ;20000870;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].MinMaxZDiffLimit;20000874;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].PinCount;20000867;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].SamplePinAlignmentPinCount;20000875;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].SamplePinToleranceX;20000876;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].SamplePinToleranceY;20000877;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
